path,artifactId,packaging,parentArtifactId,parentRelativePath,modules,dependencies,dependencyManagement
component/governance-component/governance-extensions/pom.xml,governance-extensions,jar,governance-component,../pom.xml,0,0,0
component/governance-component/governance-integration/governance-integration-spring-aop/pom.xml,governance-integration-spring-aop,jar,governance-integration,../pom.xml,0,3,0
component/governance-component/governance-integration/pom.xml,governance-integration,pom,governance-component,../pom.xml,1,0,0
component/governance-component/governance-model/pom.xml,governance-model,jar,governance-component,../pom.xml,0,0,0
component/governance-component/governance-observability/pom.xml,governance-observability,jar,governance-component,../pom.xml,0,0,0
component/governance-component/governance-runtime/pom.xml,governance-runtime,jar,governance-component,../pom.xml,0,0,0
component/governance-component/governance-spi/pom.xml,governance-spi,jar,governance-component,../pom.xml,0,2,0
component/governance-component/governance-starters/governance-spring-boot-starter/pom.xml,governance-spring-boot-starter,jar,governance-starters,../pom.xml,0,8,0
component/governance-component/governance-starters/pom.xml,governance-starters,pom,governance-component,../pom.xml,1,0,0
component/governance-component/pom.xml,governance-component,pom,component,../pom.xml,12,0,1
component/message-component/message-api/pom.xml,message-api,jar,message-component,../pom.xml,0,0,0
component/message-component/message-codec-jackson/pom.xml,message-codec-jackson,jar,message-component,../pom.xml,0,3,0
component/message-component/message-core/pom.xml,message-core,jar,message-component,../pom.xml,0,3,0
component/message-component/message-demo/pom.xml,message-demo,jar,message-component,../pom.xml,0,2,0
component/message-component/message-integrations/message-integration-kafka/pom.xml,message-integration-kafka,jar,message-integrations,../pom.xml,0,2,0
component/message-component/message-integrations/message-integration-pulsar/pom.xml,message-integration-pulsar,jar,message-integrations,../pom.xml,0,2,0
component/message-component/message-integrations/message-integration-rocketmq/pom.xml,message-integration-rocketmq,jar,message-integrations,../pom.xml,0,2,0
component/message-component/message-integrations/pom.xml,message-integrations,pom,message-component,../pom.xml,3,0,0
component/message-component/message-spi/pom.xml,message-spi,jar,message-component,../pom.xml,0,1,0
component/message-component/message-testkit/pom.xml,message-testkit,jar,message-component,../pom.xml,0,1,0
